text,label
okay right now,neutral
i am okay i guess right now,neutral
it's okay,neutral
very it's okay!,neutral
so anxious...,fear
i am anxious...,fear
I am buy groceries right now.,neutral
I am drink water right now.,neutral
so listless lately,bored
very sick of fake people today,anger
very makes my blood boil lately,anger
really void??,bored
extremely okay i guess at the moment,neutral
very fake people lately,anger
just enraged today,anger
so flat right now,bored
My puppy just learned a new trick and it's adorable.,joy
i am apathetic at the moment,bored
literally listless today,bored
feeling okay,neutral
i am enraging...,anger
so sluggish,bored
really okay i guess right now,neutral
really pointless today,sadness
I can't stop shaking.,fear
very fed up right now,anger
literally enraged!,anger
Walking in the park makes me feel so alive.,joy
feeling shattered...,sadness
very afraid...,fear
I feel like I'm drowning.,sadness
just pointless,sadness
so in pain today,sadness
Quit pestering me.,anger
literally frustrated today,anger
i feel normal day??,neutral
i am nothing special right now,neutral
so lazy at the moment,bored
just lethargic,bored
really listless at the moment,bored
i feel sleepy...,bored
Why is the internet so slow?!,anger
i am fine right now,neutral
so normal day at the moment,neutral
There is literally nothing to do.,bored
really fake people...,anger
very empty inside right now,sadness
just pointless at the moment,sadness
feeling normal day today,neutral
void,bored
so sluggish today,bored
It's tuesday.,neutral
i am nothing special...,neutral
Currently put on socks.,neutral
so grief right now,sadness
literally enraged lately,anger
so fake people??,anger
crushed today,sadness
very listless lately,bored
so meaningless lately,sadness
extremely fed up right now,anger
literally unmotivated...,bored
Get out of my face.,anger
i feel terrified??,fear
I am open the window right now.,neutral
hollow...,sadness
unmotivated lately,bored
i am panic attack??,fear
Grateful for good friends.,joy
i am unbearable!,sadness
very drained!,bored
I'm going to read the news.,neutral
Just brush my teeth.,neutral
Sluggish morning.,bored
i am lazy,bored
just livid at the moment,anger
i feel sick of fake people??,anger
i feel i am okay at the moment,neutral
panicking!,fear
I feel like something terrible is about to happen.,fear
alright??,neutral
feeling heart hurts??,sadness
so okay i guess??,neutral
very troubled at the moment,fear
I'm going to pay the bills.,neutral
i am existing??,neutral
i feel shattered??,sadness
literally meaningless!,sadness
Time to sit down.,neutral
just hollow!,sadness
i am so annoyed today,anger
so flat today,bored
I need a break before I scream.,anger
literally furious today,anger
extremely alright at the moment,neutral
so terrified...,fear
very pointless today,sadness
Just eat a sandwich.,neutral
Currently pay the bills.,neutral
i am fake people??,anger
so pain...,sadness
really scared...,fear
i am alarmed,fear
feeling just fine!,neutral
really hollow today,sadness
very existing??,neutral
i am shaking...,fear
makes my blood boil...,anger
literally alright lately,neutral
just all good,neutral
really exhausted,bored
very all good right now,neutral
Just fold laundry.,neutral
void right now,bored
extremely existing right now,neutral
very okay!,neutral
very anxious...,fear
just i'm okay at the moment,neutral
extremely everything feels pointless lately,sadness
extremely shaking today,fear
I am pay the bills right now.,neutral
literally crushed today,sadness
extremely furious,anger
really anxious??,fear
The sky is blue.,neutral
I'm doing okay.,neutral
Watching paint dry would be more fun.,bored
literally nervous...,fear
feeling void,bored
very pissed lately,anger
everything feels pointless!,sadness
extremely void??,bored
I'm going to eat a sandwich.,neutral
shaking at the moment,fear
broken at the moment,sadness
extremely i feel nothing??,bored
feeling i dont have energy lately,bored
everything feels pointless lately,sadness
Currently fold laundry.,neutral
Just stand up.,neutral
Time to comb my hair.,neutral
I'm going to drive to work.,neutral
really pissed at the moment,anger
really makes my blood boil...,anger
i feel so annoyed!,anger
really exhausted lately,bored
extremely blood boil,anger
feeling brokenhearted today,sadness
Just close the door.,neutral
i am i am okay!,neutral
I need to put on socks.,neutral
really so heavy lately,sadness
Winning the game felt amazing.,joy
i feel normal day today,neutral
literally shattered,sadness
frustrated lately,anger
Just comb my hair.,neutral
literally troubled at the moment,fear
i feel okay i guess,neutral
just feeling anxious??,fear
extremely panic attack at the moment,fear
very nervous,fear
i feel pain,sadness
really troubled today,fear
I aced the exam!,joy
literally just fine??,neutral
so exhausted...,bored
i am meaningless today,sadness
i am crushed...,sadness
really okay i guess,neutral
literally shaken??,fear
very enraging right now,anger
I'm going to take out the trash.,neutral
Time to look at the clock.,neutral
Same old routine.,bored
i feel in pain today,sadness
very meaningless!,sadness
The door is open.,neutral
extremely shaking at the moment,fear
literally alarmed at the moment,fear
i am average,neutral
very sluggish!,bored
very i am feeling anxious lately,fear
i am everything feels pointless at the moment,sadness
average??,neutral
i am fed up today,anger
I'm going to turn on the light.,neutral
i feel shaken lately,fear
very anxious lately,fear
I feel unsafe here.,fear
i feel average,neutral
literally nothing special lately,neutral
i feel i feel nothing...,bored
extremely alarmed??,fear
really terrified right now,fear
I'm fine.,neutral
i feel everything feels pointless lately,sadness
I am broken.,sadness
just mad right now,anger
just flat right now,bored
so mad today,anger
i am okay i guess,neutral
Time to tie my shoes.,neutral
I’m disappointed in myself.,sadness
literally no energy right now,bored
i am nothing special,neutral
Time to pay the bills.,neutral
feeling so heavy??,sadness
very shattered today,sadness
i am i am feeling anxious right now,fear
feeling void today,bored
very fine,neutral
feeling sluggish at the moment,bored
literally grief!,sadness
Just buy groceries.,neutral
so crushed today,sadness
extremely unbearable,sadness
feeling enraging today,anger
feeling sluggish lately,bored
I am wait for the bus right now.,neutral
extremely shattered...,sadness
extremely feeling sleepy!,bored
i feel furious,anger
very in pain??,sadness
literally sleepy today,bored
just rattled??,fear
literally everything feels pointless,sadness
really in pain,sadness
The light is green.,neutral
I'm going to put on socks.,neutral
i feel enraging,anger
so fine at the moment,neutral
really everything feels pointless today,sadness
i feel feeling anxious right now,fear
Lethargic and heavy.,bored
literally so annoyed...,anger
really alright??,neutral
No energy to cook.,bored
extremely sluggish,bored
I feel so empty inside.,sadness
This pain is never ending.,sadness
I'm going to clean my room.,neutral
I need to read the news.,neutral
i am void...,bored
extremely scared...,fear
I need to stand up.,neutral
scared at the moment,fear
The suspense is killing me.,fear
i feel grief...,sadness
No complaints.,neutral
extremely okay i guess today,neutral
really troubled...,fear
My blood is boiling.,anger
i am panicking...,fear
i am void today,bored
i am normal day!,neutral
i am drained right now,bored
Time to read the news.,neutral
so so heavy...,sadness
feeling mad today,anger
so i feel nothing,bored
i am i dont have energy!,bored
literally i am okay,neutral
just makes my blood boil,anger
very nervous at the moment,fear
feeling terrified at the moment,fear
Currently brush my teeth.,neutral
very normal day,neutral
Meh.,bored
very broken...,sadness
I am comb my hair right now.,neutral
feeling pissed,anger
Time to fold laundry.,neutral
very pain,sadness
extremely empty inside...,sadness
i am blood boil today,anger
very heart hurts right now,sadness
feeling void lately,bored
extremely dread at the moment,fear
really feeling anxious...,fear
literally brokenhearted...,sadness
so brokenhearted right now,sadness
extremely okay,neutral
so existing at the moment,neutral
I need to clean my room.,neutral
What if they find out?,fear
really all good!,neutral
i am shaking!,fear
very shaken!,fear
very livid today,anger
really livid today,anger
i am unmotivated??,bored
really devastated??,sadness
just i am feeling anxious right now,fear
afraid??,fear
very sluggish right now,bored
really flat at the moment,bored
i am hollow...,sadness
extremely flat lately,bored
i am terrified lately,fear
literally panicking today,fear
feeling lazy today,bored
feeling crushed!,sadness
i feel feeling sleepy,bored
i feel worried!,fear
really shaken lately,fear
extremely feeling anxious!,fear
I'm reading a book.,neutral
really anxious,fear
Grocery shopping list.,neutral
just okay right now,neutral
I feel so incredibly blessed to have this family.,joy
Everything is going exactly according to plan!,joy
pain right now,sadness
fake people,anger
really grief lately,sadness
i am i feel nothing lately,bored
I'm going to drink water.,neutral
i feel fake people right now,anger
feeling drained??,bored
lazy,bored
very so annoyed,anger
i am scared,fear
i am okay today,neutral
I am look at the clock right now.,neutral
My brain is foggy.,bored
terrified??,fear
all good lately,neutral
The computer is on.,neutral
feeling makes my blood boil...,anger
nervous??,fear
Just look at the clock.,neutral
i feel sleepy at the moment,bored
Currently tie my shoes.,neutral
very brokenhearted right now,sadness
I am overwhelmed with all this work.,anger
extremely mad,anger
just anxious...,fear
literally listless!,bored
i am everything feels pointless right now,sadness
afraid right now,fear
very empty inside??,sadness
Currently comb my hair.,neutral
Fed up with everything.,anger
extremely rattled right now,fear
i feel whatever right now,neutral
really nervous lately,fear
extremely i dont have energy right now,bored
very sluggish??,bored
Currently drive to work.,neutral
i am rattled??,fear
literally empty inside...,sadness
i am unbearable lately,sadness
really shattered lately,sadness
very i dont have energy lately,bored
i am nervous at the moment,fear
literally crushed...,sadness
I'm going to fold laundry.,neutral
livid today,anger
hollow right now,sadness
really alarmed lately,fear
Just read the news.,neutral
i am empty inside lately,sadness
literally pain lately,sadness
so drained at the moment,bored
i am panicking lately,fear
so feeling anxious!,fear
feeling frustrated...,anger
i feel scared today,fear
so panicking today,fear
Time to turn on the light.,neutral
literally i am okay lately,neutral
Time to take out the trash.,neutral
just flat??,bored
i am in pain today,sadness
feeling shaken right now,fear
Just write a list.,neutral
just exhausted right now,bored
so shattered??,sadness
I'm dreading this conversation.,fear
just normal day lately,neutral
I've told you a thousand times!,anger
flat at the moment,bored
just fake people lately,anger
I love the way the rain smells.,joy
just normal day today,neutral
blood boil lately,anger
i am panic attack!,fear
so i dont have energy at the moment,bored
very nothing special,neutral
I just laughed so hard I cried.,joy
okay lately,neutral
empty inside...,sadness
I'm going to look at the clock.,neutral
just no energy today,bored
just livid??,anger
feeling panic attack right now,fear
Don't test my patience.,anger
i feel listless!,bored
i am alarmed lately,fear
so worried...,fear
literally livid!,anger
Subdued reaction.,neutral
My heart is racing and I can't catch my breath.,fear
really i am okay,neutral
feeling sick of fake people right now,anger
very apathetic right now,bored
so dread right now,fear
i am fine...,neutral
My palms are sweating.,fear
i am scared!,fear
really lethargic right now,bored
feeling grief!,sadness
just pissed,anger
i am it's okay??,neutral
extremely afraid today,fear
I'm neither happy nor sad.,neutral
Feeling top of the world today.,joy
i feel panic attack,fear
really grief,sadness
i feel blood boil,anger
pain??,sadness
so it's okay at the moment,neutral
i feel worried,fear
i feel grief!,sadness
very dread today,fear
I need to brush my teeth.,neutral
i feel livid lately,anger
very shaking right now,fear
I am charge my phone right now.,neutral
extremely in pain??,sadness
No one understands what I'm going through.,sadness
so furious lately,anger
in pain right now,sadness
enraging!,anger
extremely lazy right now,bored
Can't be bothered to move.,bored
i feel listless...,bored
i am sleepy right now,bored
Just charge my phone.,neutral
I'm mechanically scrolling through my phone.,bored
very shattered at the moment,sadness
i feel sick of fake people today,anger
i feel devastated lately,sadness
i am livid!,anger
really rattled...,fear
This is a dream come true.,joy
Currently clean my room.,neutral
Everything is so dull.,bored
so enraging lately,anger
empty inside lately,sadness
so rattled!,fear
i feel meaningless!,sadness
i feel terrified...,fear
so troubled??,fear
extremely in pain...,sadness
The incompetence is staggering.,anger
feeling sleepy right now,bored
exhausted today,bored
I am fold laundry right now.,neutral
I hate how this turned out.,anger
It is raining slightly.,neutral
just worried,fear
so devastated??,sadness
feeling dread??,fear
I'm going to buy groceries.,neutral
Checking my emails.,neutral
i am troubled lately,fear
really flat today,bored
really i am okay!,neutral
really lethargic at the moment,bored
just furious today,anger
very flat right now,bored
i am fed up lately,anger
feeling so heavy right now,sadness
extremely everything feels pointless...,sadness
very scared right now,fear
really just fine right now,neutral
Time to charge my phone.,neutral
really normal day today,neutral
i am so annoyed??,anger
feeling makes my blood boil today,anger
really afraid??,fear
very shaking at the moment,fear
feeling alright at the moment,neutral
i am fed up right now,anger
worried...,fear
extremely crushed lately,sadness
i am existing!,neutral
extremely scared,fear
pissed...,anger
really dread today,fear
very shaken right now,fear
I heard a noise downstairs.,fear
just dread??,fear
extremely pain,sadness
Currently eat a sandwich.,neutral
just fine today,neutral
i feel feeling anxious??,fear
Currently walk the dog.,neutral
very i feel nothing!,bored
blood boil!,anger
really fine right now,neutral
really i am feeling anxious at the moment,fear
feeling broken,sadness
so sick of fake people,anger
Nothing much happening.,neutral
Jitters before the big speech.,fear
very nothing special!,neutral
This is absolutely ridiculous.,anger
literally empty inside today,sadness
i am shaking,fear
Time to buy groceries.,neutral
I am beaming with pride right now.,joy
really panicking lately,fear
fine!,neutral
I need to buy groceries.,neutral
very devastated??,sadness
I'm going to open the window.,neutral
feeling panic attack??,fear
just lethargic right now,bored
i am brokenhearted lately,sadness
literally i am okay right now,neutral
so fed up!,anger
unbearable!,sadness
just so heavy??,sadness
I need to drink water.,neutral
feeling apathetic at the moment,bored
Currently write a list.,neutral
literally sick of fake people!,anger
i feel enraged??,anger
very scared...,fear
just terrified,fear
literally mad!,anger
really i am feeling anxious...,fear
I am drive to work right now.,neutral
literally okay...,neutral
i feel i'm okay!,neutral
feeling pointless right now,sadness
literally furious at the moment,anger
i feel shattered!,sadness
extremely anxious...,fear
extremely blood boil today,anger
really heart hurts today,sadness
just crushed right now,sadness
extremely i feel nothing today,bored
i am okay i guess lately,neutral
i am crushed right now,sadness
feeling pointless,sadness
literally apathetic at the moment,bored
really existing...,neutral
very everything feels pointless!,sadness
literally listless,bored
extremely flat!,bored
nothing special??,neutral
i am i dont have energy today,bored
My heart is shattered.,sadness
very all good...,neutral
Observation: the room is quiet.,neutral
really shaking...,fear
feeling fine at the moment,neutral
really empty inside right now,sadness
"I'm tired but not sleepy, just drained.",bored
really sick of fake people right now,anger
so unbearable right now,sadness
so drained lately,bored
brokenhearted right now,sadness
just okay at the moment,neutral
just troubled today,fear
feeling i'm okay at the moment,neutral
feeling exhausted today,bored
just listless...,bored
i am alright,neutral
very fed up,anger
really in pain at the moment,sadness
Lunch was okay.,neutral
very enraging lately,anger
shaken,fear
i am grief??,sadness
so afraid right now,fear
so enraged!,anger
literally dread right now,fear
just terrified today,fear
Anxiety is through the roof.,fear
feeling shaken!,fear
extremely all good,neutral
feeling feeling sleepy...,bored
very i feel nothing today,bored
literally fake people??,anger
Scared of the dark.,fear
just rattled lately,fear
feeling all good lately,neutral
so in pain!,sadness
average...,neutral
so pointless today,sadness
feeling existing lately,neutral
literally sleepy...,bored
Acceptable outcome.,neutral
feeling i am feeling anxious!,fear
worried today,fear
i am feeling anxious lately,fear
very meaningless lately,sadness
literally all good lately,neutral
really furious...,anger
i am frustrated!,anger
just no energy...,bored
Just check the mail.,neutral
literally nervous lately,fear
I need to write a list.,neutral
literally scared...,fear
Paralyzed by fear.,fear
literally listless lately,bored
very fed up today,anger
just void today,bored
i feel unbearable!,sadness
just makes my blood boil??,anger
He surprised me with flowers.,joy
Nervous about the interview tomorrow.,fear
i am sluggish lately,bored
just whatever at the moment,neutral
Crying myself to sleep again.,sadness
just sleepy,bored
really panic attack lately,fear
just void...,bored
i feel so heavy,sadness
just devastated,sadness
very panic attack lately,fear
just unbearable,sadness
i feel no energy!,bored
literally devastated at the moment,sadness
literally grief at the moment,sadness
very worried right now,fear
i am okay,neutral
really heart hurts!,sadness
really enraging...,anger
just panic attack today,fear
extremely no energy,bored
fine...,neutral
i am alright lately,neutral
normal day today,neutral
Currently sit down.,neutral
so scared...,fear
Average experience.,neutral
Blah.,bored
i am lethargic at the moment,bored
literally rattled lately,fear
just lethargic today,bored
i feel shaken!,fear
I feel flat.,bored
really everything feels pointless at the moment,sadness
i feel makes my blood boil right now,anger
really blood boil!,anger
really pointless at the moment,sadness
very i am okay!,neutral
feeling exhausted??,bored
Just open the window.,neutral
very frustrated...,anger
i feel panicking!,fear
so shaking!,fear
extremely broken today,sadness
I need to comb my hair.,neutral
extremely grief,sadness
okay today,neutral
literally devastated today,sadness
extremely hollow at the moment,sadness
just it's okay!,neutral
very i dont have energy...,bored
Why is life so unfair?,sadness
i feel flat right now,bored
i feel enraged!,anger
Time to stand up.,neutral
extremely sick of fake people right now,anger
worried lately,fear
I am tie my shoes right now.,neutral
very enraging at the moment,anger
feeling fed up lately,anger
I am put on socks right now.,neutral
feeling apathetic,bored
so sick of fake people??,anger
so dread at the moment,fear
Currently drink water.,neutral
I have a pen.,neutral
literally mad...,anger
feeling feeling sleepy right now,bored
extremely i am feeling anxious right now,fear
I appreciate you so much.,joy
feeling whatever lately,neutral
extremely drained right now,bored
literally i am okay!,neutral
The sunrise this morning was absolutely breathtaking.,joy
i feel everything feels pointless at the moment,sadness
literally pointless lately,sadness
I just want to crawl into bed and never leave.,sadness
literally feeling anxious...,fear
i feel nervous??,fear
very nothing special lately,neutral
extremely everything feels pointless at the moment,sadness
extremely whatever...,neutral
I am clean my room right now.,neutral
I have a bad feeling about this.,fear
average right now,neutral
I am eat a sandwich right now.,neutral
feeling all good,neutral
