text,label
pain,sadness
suffering,sadness
heartbroken,sadness
devastated,sadness
broken,sadness
shattered,sadness
crushed,sadness
gutted,sadness
destroyed,sadness
miserable,sadness
hopeless,sadness
worthless,sadness
empty,sadness
hollow,sadness
numb,sadness
lonely,sadness
isolated,sadness
abandoned,sadness
rejected,sadness
forgotten,sadness
depressed,sadness
melancholy,sadness
sorrowful,sadness
grieving,sadness
mourning,sadness
helpless,sadness
defeated,sadness
lost,sadness
unhappy,sadness
down,sadness
hurt,sadness
aching,sadness
weeping,sadness
crying,sadness
sobbing,sadness
gloomy,sadness
bleak,sadness
dismal,sadness
wretched,sadness
forlorn,sadness
despairing,sadness
desolate,sadness
bereft,sadness
inconsolable,sadness
crestfallen,sadness
downcast,sadness
dejected,sadness
despondent,sadness
disheartened,sadness
woeful,sadness
tearful,sadness
pained,sadness
anguished,sadness
tormented,sadness
afflicted,sadness
so sad,sadness
really sad,sadness
extremely sad,sadness
deeply sad,sadness
feeling sad,sadness
feeling down,sadness
feeling low,sadness
feeling blue,sadness
feeling empty,sadness
feeling hollow,sadness
feeling numb,sadness
feeling lost,sadness
i'm sad,sadness
i'm hurting,sadness
i'm broken,sadness
i'm devastated,sadness
i'm miserable,sadness
i'm depressed,sadness
i'm lonely,sadness
i'm lost,sadness
i'm empty,sadness
i'm numb,sadness
i'm hopeless,sadness
i'm helpless,sadness
in pain,sadness
in agony,sadness
in tears,sadness
in grief,sadness
heart hurts,sadness
soul hurts,sadness
it hurts,sadness
everything hurts,sadness
can't stop crying,sadness
want to cry,sadness
been crying,sadness
completely devastated,sadness
absolutely shattered,sadness
totally crushed,sadness
feeling worthless,sadness
feel so alone,sadness
all alone,sadness
i want to die,sadness
i wanna die,sadness
just let me die,sadness
i don't want to live anymore,sadness
i dont want to live,sadness
what's the point of living,sadness
what is the point,sadness
no reason to live,sadness
no point in living,sadness
no point going on,sadness
i think there is no point of me living,sadness
nobody would care if i was gone,sadness
nobody cares about me,sadness
the world would be better without me,sadness
i want to end it all,sadness
i want to end everything,sadness
i want to disappear forever,sadness
just want to disappear,sadness
i can't do this anymore,sadness
i can't take it anymore,sadness
tired of living,sadness
tired of existing,sadness
tired of being alive,sadness
life isn't worth it,sadness
life is meaningless,sadness
everything feels pointless,sadness
it's all pointless,sadness
nothing matters anymore,sadness
what's the point of anything,sadness
i give up on life,sadness
giving up on everything,sadness
don't want to wake up,sadness
wish i wouldn't wake up,sadness
better off dead,sadness
everyone is better off without me,sadness
lost my will to live,sadness
lost the will to go on,sadness
can't go on,sadness
i just can't anymore,sadness
everything feels pointless and i don't know why i bother,sadness
i lost my time my life its moving and i can't keep up,sadness
lost my time my life its moving,sadness
i feel like nobody understands what i'm going through,sadness
the sadness just won't go away no matter what i do,sadness
i pretend to be okay but inside i'm falling apart,sadness
sometimes the weight of everything is just too much,sadness
i don't remember what happiness feels like,sadness
every day feels heavier than the last,sadness
