text,label
im disturbed,sadness
Its fine,neutral
I've been staring at the wall for hours doing nothing,low_energy_bored
something feels off and i'm scared,anxious
just scrolling aimlessly through my phone,low_energy_bored
hmm okay,neutral
the grind never stops and im tired of it,stressed
Obsessing over things I cant change,overthinking
Why did I say that stupid thing earlier,overthinking
Enjoying the quiet moment,calm
Got that pit in my stomach feeling,anxious
Hyperfixated on finishing this task,focused
i need a break from all this,stressed
flat out bored,low_energy_bored
im done with life,sadness
"Stress level 100, about to lose it",stressed
Alright,neutral
serene and relaxed,calm
"i need action, something, anything",restless_bored
incredible day,positive_engaged
nothing bothering me right now,calm
not interested in anything,low_energy_bored
work is destroying me,stressed
i cant stop crying,sadness
i am overwhelmed by everything on my plate right now,stressed
on a roll and can't stop,focused
deadline after deadline,stressed
Just feeling kinda meh today,emotionally_flat
Actually having a good day for once,positive_engaged
best day ever,positive_engaged
everything is falling apart,sadness
Bouncing off the walls rn,restless_bored
good vibes only today,positive_engaged
dying of boredom,low_energy_bored
mindnumbingly boring,low_energy_bored
apathy is the only thing i feel,emotionally_flat
itching to start a project but cant focus on one,restless_bored
nothing special,neutral
need something to do,low_energy_bored
so much work to do and zero time,stressed
cant stop smiling,positive_engaged
standard day,neutral
doomscrolling and i can't stop even though i hate it,low_energy_bored
feel like im on the edge,anxious
Thinking about every possible way this could go wrong,overthinking
bored to tears,low_energy_bored
everything is piling up,stressed
Omg this is amazing let's gooo!,positive_engaged
Spiraling rn can't breathe properly,anxious
what is the use of trying,sadness
so many deadlines i'm actually cooked,stressed
stuck in a loop of negative thoughts,overthinking
thinking about every possible way this could go wrong,overthinking
what if they're mad at me,overthinking
noted,neutral
i am so done with everything,sadness
feeling euphoric,positive_engaged
feel like im going to burst,restless_bored
sweating and shaking for no reason,anxious
"cant stop won't stop, making progress",focused
i wanna do something but idk what to do,restless_bored
just breathing and being,calm
alright,neutral
so much pain,sadness
understood,neutral
maybe later,neutral
"stress level 100, about to lose it",stressed
So many deadlines Im actually cooked,stressed
i'm broken,sadness
totally in the zone rn,focused
cant sleep because of my thoughts,overthinking
wondering if they hate me after what i said,overthinking
my thoughts won't let me rest,overthinking
letting go of worries,calm
dull existence,low_energy_bored
my mind is a mess of thoughts,overthinking
climbing the walls with boredom,restless_bored
got it,neutral
im devastated,sadness
dont care anymore,emotionally_flat
My energy is at zero just melting into the couch,low_energy_bored
feel like i'm going to burst,restless_bored
Sure,neutral
literally just laying in bed rotting,low_energy_bored
Cant wait to see my friends,positive_engaged
soaking in the calmness,calm
brain is on overdrive,overthinking
cant take it anymore,sadness
i need a break from this boring life,low_energy_bored
Nothing really matters to me right now,emotionally_flat
Pressure is getting to me I might crash out,stressed
feeling great and full of energy,positive_engaged
tight chest and racing thoughts,anxious
Cant shake this feeling of dread,anxious
dont really care about anything rn,emotionally_flat
Replaying that conversation over and over in my head,overthinking
at peace with everything,calm
"So restless, I can't sit still for more than a minute",restless_bored
so dull,low_energy_bored
my head is splitting from stress,stressed
I see,neutral
my brain is fried from all this work,stressed
Blank mind blank feelings,emotionally_flat
i just want it to stop,sadness
what if i fail this exam i'm scared,anxious
same old routine,low_energy_bored
i'm maxed out,stressed
i'm so happy right now,positive_engaged
my brain won't shut up about the past,overthinking
I guess so,neutral
Apathy is the only thing I feel,emotionally_flat
on the verge of a breakdown from work,stressed
uneventful and dull,low_energy_bored
quiet mind happy heart,calm
nothing can distract me right now,focused
this assignment is killing me slowly,stressed
indifferent to everything,emotionally_flat
my heart wont stop racing,anxious
Not happy not sad just existing,emotionally_flat
i can't do this anymore,sadness
ive absolutely nothing to do and no motivation,low_energy_bored
just existing,low_energy_bored
So restless I cant sit still for more than a minute,restless_bored
so antsy right now,restless_bored
actually having a good day for once,positive_engaged
my thoughts wont let me rest,overthinking
I am crawling out of my skin,restless_bored
can't calm down,anxious
agitated and can't relax,restless_bored
im on autopilot,emotionally_flat
constant state of worry,anxious
emotionally dead inside,emotionally_flat
Feel like a robot programmed to just be,emotionally_flat
worried that something bad is about to happen,anxious
im maxed out,stressed
need to decompress,stressed
stress-free moment,calm
lost all hope,sadness
watching paint dry,low_energy_bored
cant wait to see my friends,positive_engaged
life is boring,low_energy_bored
whats the use of trying,sadness
Feel like screaming just to break the silence,restless_bored
feeling centered and at peace,calm
This assignment is killing me slowly,stressed
My brain won't shut up about the past,overthinking
Ive been staring at the wall for hours doing nothing,low_energy_bored
spiraling rn can't breathe properly,anxious
second guessing every decision,overthinking
yawn,low_energy_bored
forget about me,sadness
Can't shake this feeling of dread,anxious
something feels off and I'm scared,anxious
Spiraling rn cant breathe properly,anxious
i'm going to explode from pressure,stressed
can't shake this feeling of dread,anxious
why did i say that stupid thing earlier,overthinking
stuck in a rut,low_energy_bored
i could run through a wall right now,restless_bored
Need an adventure or something exciting to happen ASAP,restless_bored
i am so nervous,anxious
there is no point,sadness
so much pent up energy,restless_bored
"panic mode initiated, too much to do",stressed
living in constant fear,anxious
just a regular Tuesday,neutral
when will this stress end,stressed
i've been staring at the wall for hours doing nothing,low_energy_bored
Cant sit still need to move,restless_bored
loving life right now!,positive_engaged
I am overwhelmed by everything on my plate right now,stressed
Ok,neutral
laser focused distinct lack of distractions,focused
feeling blessed,positive_engaged
pressure is getting to me i might crash out,stressed
I feel like running a marathon but Im trapped here,restless_bored
monotonous day,low_energy_bored
"brain empty, no thoughts, just bored",low_energy_bored
my mind won't stop worrying,anxious
i am bored,low_energy_bored
nothing matters anymore,sadness
hyper but trapped,restless_bored
constantly questioning myself,overthinking
Doomscrolling and I cant stop even though I hate it,low_energy_bored
cranking through tasks,focused
mind-numbingly boring,low_energy_bored
can't feel anything,emotionally_flat
Feeling peaceful rn,calm
why doesnthing work out for me,sadness
I am done with life,sadness
makes sense,neutral
on top of the world,positive_engaged
going over it again and again,overthinking
can't stop thinking about it,overthinking
No stress just relaxation,calm
radiating positive vibes,positive_engaged
im ready to quit,sadness
this song slaps im happy,positive_engaged
another boring day,low_energy_bored
Literally just laying in bed rotting,low_energy_bored
fidgety and restless,restless_bored
"Coding marathon, fully immersed",focused
"Feel like a robot, programmed to just be",emotionally_flat
i am hopeless,sadness
bursting with happiness,positive_engaged
just wondering,neutral
need to go out or i will explode,restless_bored
something feels off and Im scared,anxious
no highs no lows just nothing,emotionally_flat
everything is going right,positive_engaged
no highs no lows just... nothing,emotionally_flat
what if i fail this exam im scared,anxious
so much pressure it hurts,stressed
what if theyre mad at me,overthinking
going through life on mute,emotionally_flat
Pacing around the house with nothing to do,restless_bored
i can't stop crying,sadness
i keep getting panic attacks,anxious
crying myself to sleep,sadness
Brain empty no thoughts just bored,low_energy_bored
i don't feel safe,anxious
Just scrolling aimlessly through my phone,low_energy_bored
"anxiety is high today, hard to focus",anxious
i need to go somewhere now,restless_bored
fair enough,neutral
full steam ahead on this project,focused
thats fine,neutral
taking a nice warm bath and chilling,calm
productivity is through the roof,focused
i cant do this anymore,sadness
don't care anymore,emotionally_flat
empty shell,emotionally_flat
my hands are shaking and i feel uneasy,anxious
Feeling kinda nervous about tomorrow,anxious
head down grinding,focused
im bored,low_energy_bored
im suffocating under all this work,stressed
Finally relaxing after a long day,calm
my heart won't stop racing,anxious
no time to breathe,stressed
so much to celebrate,positive_engaged
heart beating so fast for no reason,anxious
itching to start a project but can't focus on one,restless_bored
feel like a zombie,low_energy_bored
everything is okay right now,calm
in flow state,focused
I need action something anything,restless_bored
my brain wont shut up about the past,overthinking
i feel like something terrible is coming,anxious
life is beautiful,positive_engaged
brain is firing on all cylinders,focused
that's fine,neutral
im so done with everything,sadness
sure,neutral
feeling so hyped for tonight,positive_engaged
this made my day,positive_engaged
hyper-fixated on finishing this task,focused
Got so much energy but stuck in this room,restless_bored
im hopeless,sadness
"can't sit still, need to move",restless_bored
Laser focused distinct lack of distractions,focused
studying hard and making progress,focused
im broken,sadness
im so happy right now,positive_engaged
comfortable and at ease,calm
100 concentration,focused
Just vibing with some music,calm
im going to explode from pressure,stressed
the thought wont leave my head,overthinking
i feel like running a marathon but i'm trapped here,restless_bored
utterly bored,low_energy_bored
its fine,neutral
nothing to look forward to,low_energy_bored
"cant sit still, need to move",restless_bored
i feel worthless,sadness
this song slaps i'm happy,positive_engaged
cant believe how much i have to get done,stressed
the pain never stops,sadness
feel like i'm on the edge,anxious
too much is going on,stressed
grinding on this code,focused
not much happening,neutral
"cant focus on one thing, brain is everywhere",restless_bored
can't stop analyzing every little detail,overthinking
Feeling great and full of energy,positive_engaged
"Anxiety is high today, hard to focus",anxious
Too tired to do anything fun but too bored to sleep,low_energy_bored
So antsy right now,restless_bored
"feel like a robot, programmed to just be",emotionally_flat
