text,label
running on fumes,low_energy_bored
i give up,sadness
mentally fried,low_energy_bored
dying of boredom,low_energy_bored
unstimulated,low_energy_bored
lost causes,sadness
what is the use of trying,sadness
can't move a muscle,low_energy_bored
what is the use of trying,sadness
yawn,low_energy_bored
dull existence,low_energy_bored
can't move a muscle,low_energy_bored
i just want to end it,sadness
there is no point,sadness
bored to tears,low_energy_bored
nothing exciting ever happens,low_energy_bored
torn apart inside,sadness
what is the use of trying,sadness
nothing exciting ever happens,low_energy_bored
i give up,sadness
WHAT IS THE USE OF TRYING,sadness
i hate my life,sadness
yawn,low_energy_bored
unstimulated,low_energy_bored
i went to the store,neutral
bored to tears,low_energy_bored
hello there,neutral
i am done,sadness
yawn,low_energy_bored
why is everything so hard,sadness
i hate my life,sadness
i can't do this anymore,sadness
running on fumes,low_energy_bored
i am done with life,sadness
darkness is consuming me,sadness
I JUST WANT TO END IT,sadness
nothing matters anymore,sadness
WHAT IS THE USE OF TRYING,sadness
meh,low_energy_bored
torn apart inside,sadness
THERE IS NO POINT,sadness
i just want to end it,sadness
there is no point,sadness
i feel like crying,sadness
i am hopeless,sadness
unstimulated,low_energy_bored
unstimulated,low_energy_bored
torn apart inside,sadness
physically exhausted,low_energy_bored
forget about me,sadness
i am done,sadness
monotonous day,low_energy_bored
this is so boring,low_energy_bored
i hate my life,sadness
can't move a muscle,low_energy_bored
NOTHING MATTERS ANYMORE,sadness
I AM DONE WITH LIFE,sadness
batteries dead,low_energy_bored
i am hopeless,sadness
I AM DONE,sadness
nothing matters anymore,sadness
monotonous day,low_energy_bored
I am done with life,sadness
dying of boredom,low_energy_bored
I GIVE UP,sadness
bored to tears,low_energy_bored
lost causes,sadness
bored to tears,low_energy_bored
this is so boring,low_energy_bored
i can't do this anymore,sadness
forget about me,sadness
i am done,sadness
so dull,low_energy_bored
not interested in anything,low_energy_bored
nothing exciting ever happens,low_energy_bored
i'm broken,sadness
i am drained,low_energy_bored
so dull,low_energy_bored
i am drained,low_energy_bored
I JUST WANT TO END IT,sadness
dying of boredom,low_energy_bored
FORGET ABOUT ME,sadness
WHAT IS THE USE OF TRYING,sadness
unstimulated,low_energy_bored
the pain never stops,sadness
leaving this world,sadness
I FEEL LIKE CRYING,sadness
i am done,sadness
I'M READY TO QUIT,sadness
i can't do this anymore,sadness
TORN APART INSIDE,sadness
yawn,low_energy_bored
nothing exciting ever happens,low_energy_bored
leaving this world,sadness
the pain never stops,sadness
monotonous day,low_energy_bored
i went to the store,neutral
not interested in anything,low_energy_bored
burnout is real,low_energy_bored
meh,low_energy_bored
I GIVE UP,sadness
i can't do this anymore,sadness
the pain never stops,sadness
dull existence,low_energy_bored
LOST CAUSES,sadness
i feel like crying,sadness
i hate my life,sadness
dying of boredom,low_energy_bored
bored to tears,low_energy_bored
there is no point,sadness
I JUST WANT TO END IT,sadness
mentally fried,low_energy_bored
I FEEL LIKE CRYING,sadness
can't move a muscle,low_energy_bored
torn apart inside,sadness
i am hopeless,sadness
darkness is consuming me,sadness
I HATE MY LIFE,sadness
so dull,low_energy_bored
FORGET ABOUT ME,sadness
what is the use of trying,sadness
what is the use of trying,sadness
hello there,neutral
nothing exciting ever happens,low_energy_bored
there is no point,sadness
i feel like crying,sadness
I AM DONE,sadness
leaving this world,sadness
i went to the store,neutral
LEAVING THIS WORLD,sadness
watching paint dry,low_energy_bored
