text,label
I'm so mad right now I can't even think straight.,anger
We've been through hell and back and we're still standing together.,love
My pillow knows more about my feelings than anyone else.,sadness
The injustice of this situation is absolutely staggering.,anger
I'm over this. Completely over it.,anger
That's wild. Absolutely wild.,surprise
I keep imagining the worst and I can't stop.,fear
I feel so alive right now.,joy
I trust this person with my whole heart.,love
I got a promotion and I cried in the bathroom from happiness.,joy
Nothing sounds appealing right now.,bored
I faked a smile at work but inside I was falling apart.,sadness
I feel unsafe even when logically I know I'm fine.,fear
Today I chose to be happy and for once it worked.,joy
I feel like I'm walking on eggshells constantly.,fear
I'm so bored I started organizing my sock drawer.,bored
Every small symptom sends me spiraling.,fear
Currently listening to music and organizing my desk.,neutral
My heart belongs to these people at this dinner table.,love
I yawned so hard a tear came out and that was the most I've felt all day.,bored
I look at old family photos and my chest fills with warmth.,love
I started three different activities and lost interest in all of them.,bored
Today felt like a movie scene in the best way.,joy
He makes my soul feel at peace.,love
"For the first time in months, I woke up looking forward to the day.",joy
I feel like I'm slowly fading away.,sadness
I don't feel one way or another about it.,neutral
My dad still calls me his little girl even though I'm thirty.,love
He held the door and waited for the old lady behind us.,love
I'm seething and I need to go for a walk before I say something I regret.,anger
Nothing excites me. Nothing annoys me. I'm just flat.,bored
I opened the door and everyone was there. I had no clue.,surprise
I heard my favorite song on the radio and danced in the kitchen.,joy
I'm grateful every day that we found each other.,love
I fell in love slowly and then all at once.,love
"I just stood there, mouth open, completely dumbfounded.",surprise
Just doing what needs to be done.,neutral
I could do something productive but I just don't want to.,bored
What if they all find out I'm faking it.,fear
I watched their favorite movie alone last night.,sadness
I got cut off three times in traffic and my patience is gone.,anger
I'm scared of disappointing the people who believe in me.,fear
This is what freedom feels like.,joy
I keep checking the locks. I know I already checked.,fear
The morning was slow. The afternoon was productive.,neutral
"Same routine, same walls, same nothing.",bored
I tried meditating but my brain refused to turn off or do anything useful.,bored
I keep second-guessing myself and it's ruining my confidence.,fear
I'm understimulated and overstimulated at the same time somehow.,bored
I keep hoping to feel normal again but I've forgotten what that means.,sadness
The fact that nobody sees the problem IS the problem.,anger
That first sip of coffee on a crisp morning is everything.,joy
I'm so stressed about money that I can't sleep.,fear
They gaslit me for months and now act like I'm the crazy one.,anger
Something feels off but I can't put my finger on it.,fear
I'm still trying to process what I just witnessed.,surprise
I can't stop thinking about all the ways this could go wrong.,fear
I don't really have strong feelings about it either way.,neutral
I finished what I needed to do and went home.,neutral
Being around them feels like coming home.,love
We rescued a puppy and he already feels like family.,joy
I'm terrified of ending up alone.,fear
My brain is running at 5 percent capacity today.,bored
My screen time report is embarrassing and I don't even remember any of it.,bored
I've been avoiding that conversation because the outcome terrifies me.,fear
I've never felt this much resentment toward someone.,anger
I just booked a trip to a place I've always dreamed of visiting.,joy
My best friend drove four hours just because I sounded sad.,love
Everything just clicked into place today.,joy
Every cell in my body is buzzing with happiness.,joy
I got the email and had to read it five times to make sure it was real.,surprise
Work was normal. Nothing worth mentioning.,neutral
I'm reflecting on the day and it was pretty uneventful.,neutral
I feel forgotten.,sadness
"I'm okay. Not great, not bad, just okay.",neutral
"I turned around and there he was, completely out of nowhere.",surprise
They actually apologized. I'm genuinely speechless.,surprise
Walking out of that interview knowing I nailed it. Best feeling.,joy
I miss who I used to be.,sadness
I meditated for ten minutes and I feel centered.,neutral
What if I'm not enough for this job.,fear
I spent the whole day in bed and accomplished nothing.,sadness
"I woke up and immediately wanted to go back to sleep. Not tired, just uninterested.",bored
I left work feeling energized for once.,joy
I was laughing so hard my stomach hurt.,joy
The system is rigged against people like us.,anger
"I just want something, ANYTHING, to break up the monotony.",bored
Took a slow morning and it set a good tone for the day.,neutral
I feel like a zombie on autopilot.,bored
Just maintaining my routine.,neutral
I actually love my life right now and that's new for me.,joy
Things are going according to plan.,neutral
I don't even have the energy to pretend I'm okay anymore.,sadness
I've been having nightmares about failing.,fear
Someone I ghosted five years ago just showed up at my work.,surprise
I feel calm and present right now.,neutral
Everything tastes better when you're in a good mood.,joy
My dog rests his head on my lap when I'm having a bad day.,love
"She always believed in me, even when I didn't believe in myself.",love
I read some articles during my break.,neutral
I'm afraid to get close to anyone because everyone leaves eventually.,fear
I'm counting ceiling tiles. That's where I'm at.,bored
"This pizza is absolutely incredible, I'm in heaven.",joy
I lost my best friend and I don't know how to exist without them.,sadness
The highlight of my day was watching the microwave timer count down.,bored
I don't need anything right now — everything is fine as is.,neutral
I'm trapped in the most boring day of my life.,bored
I hate that I care this much about something that doesn't care about me.,anger
"Loneliness isn't about being alone, it's about feeling alone in a room full of people.",sadness
He showed up at my doorstep with flowers after ten years apart.,surprise
Autopilot mode activated.,bored
I'm relaxed and present.,neutral
I'm literally just lying here rotting.,bored
Everything feels manageable today.,neutral
I never knew love could feel this safe.,love
I finished my workout and feel composed.,neutral
Nothing matters and I can't be bothered to care about that fact.,bored
He tells me I'm beautiful when I feel my worst.,love
They completely disregarded my feelings.,anger
I have hobbies but none of them sound appealing right now.,bored
I can't breathe properly when I think about the future.,fear
My focus was good today. Got through my tasks without distraction.,neutral
All I want is to go back to how things were before.,sadness
I found someone who makes silence comfortable.,love
I'm furious at myself for letting this happen.,anger
I feel like my personality shut off today.,bored
She doesn't know it yet but she saved my life just by being there.,love
I'm not doing anything and I don't plan to.,bored
Too tired to do anything fun but too bored to sleep.,bored
Little moments of pure happiness are what I live for.,joy
I'm scared to open that email.,fear
"Yes, that sounds fine.",neutral
Everything is operating as usual.,neutral
Plot twist — the quiet kid in class is a published author.,surprise
The kids put on a surprise show for me and it was adorable.,joy
"I keep waiting for things to get better, but they don't.",sadness
I'm content with how things are going.,neutral
Did that really just happen or am I dreaming.,surprise
I stared at a menu for ten minutes and still couldn't decide because nothing appealed to me.,bored
"I feel hollow inside, like something important is missing.",sadness
I feel numb to everything.,bored
She texted me 'got home safe' without me asking.,love
Nobody saw that coming. Nobody.,surprise
I've been waiting for inspiration and it clearly took the day off.,bored
I made someone laugh today and that filled me up.,joy
There's a weight on my chest that never goes away.,sadness
I got a message from someone I never thought I'd hear from again.,surprise
My sister is my best friend. Nobody knows me like she does.,love
Every time my phone rings late at night my heart drops.,fear
I'm staring at a full bookshelf with nothing to read.,bored
I cried in the shower so nobody would hear.,sadness
I'm on the couch. I've been on the couch. I will be on the couch.,bored
I opened a book from my childhood and a note from my father fell out.,surprise
I deleted all our messages and immediately regretted it.,sadness
I feel like I'm drowning in my own thoughts.,sadness
