text,label
literally grief!,sadness
Hiding my tears behind a smile.,sadness
extremely scared...,fear
literally no energy lately,bored
Why did I say that stupid thing earlier?,overthinking
i am all good!,neutral
very scared right now,fear
so frustrated today,anger
literally meaningless!,sadness
literally makes my blood boil,anger
literally panic attack at the moment,fear
Doomscrolling twitter and I can't stop even though I hate it.,low_energy_bored
very fed up right now,anger
really all good right now,neutral
literally feeling anxious??,fear
I need to wait for the bus.,neutral
I am turn on the light right now.,neutral
really unmotivated today,bored
Everything I touch breaks.,sadness
"partying on the outside, broken on the inside.",sadness
Chilling at home watching movies.,calm
all good,neutral
I'm neither happy nor sad.,neutral
watching paint dry,low_energy_bored
I miss him so much it hurts physically.,sadness
Feeling peaceful rn.,calm
i am i feel nothing,bored
Grinning but my heart is breaking.,sadness
I feel completely hopeless.,sadness
i'm broken,sadness
Just put on socks.,neutral
i feel no energy!,bored
feeling mad today,anger
"joking on the outside, sad on the inside.",sadness
so exhausted...,bored
i feel shattered??,sadness
I am joking but inside I am dying.,sadness
so enraging lately,anger
Currently clean my room.,neutral
literally listless!,bored
feeling i feel nothing!,bored
extremely i feel nothing today,bored
very shaken at the moment,fear
really normal day today,neutral
really feeling anxious...,fear
very fed up today,anger
"partying on the outside, empty on the inside.",sadness
"joking on the outside, broken on the inside.",sadness
just livid??,anger
literally flat??,bored
empty inside lately,sadness
i am existing!,neutral
i feel i'm okay!,neutral
so existing lately,neutral
just dread right now,fear
I CAN'T DO THIS ANYMORE,sadness
just livid lately,anger
i feel pain,sadness
very brokenhearted right now,sadness
Time to turn on the light.,neutral
really grief,sadness
Not much happening.,neutral
just no energy today,bored
"joking on the outside, dying on the inside.",sadness
very existing??,neutral
Butterflies in my stomach but can't wait.,joy
very worried today,fear
Listless afternoon.,bored
I need to charge my phone.,neutral
I'm doing okay.,neutral
literally i am okay right now,neutral
I lost my best friend today.,sadness
extremely okay i guess today,neutral
just sick of fake people,anger
I'm going to put on socks.,neutral
I need to brush my teeth.,neutral
physically exhausted,low_energy_bored
WHY IS EVERYTHING SO HARD,sadness
very okay!,neutral
Feeling great and full of energy.,positive_engaged
very okay at the moment,neutral
I'm going to drive to work.,neutral
just shaken today,fear
very average!,neutral
very i'm okay at the moment,neutral
very empty inside??,sadness
I am sleepy but I feel good.,joy
I HATE MY LIFE,sadness
fake people??,anger
i feel fake people right now,anger
I'm reading a book.,neutral
feeling terrified...,fear
mentally fried,low_energy_bored
"laughing on the outside, sad on the inside.",sadness
Omg this is amazing let's gooo!,positive_engaged
i am void...,bored
literally enraged lately,anger
Just tie my shoes.,neutral
just i dont have energy!,bored
