text,label
I need to check the mail.,neutral
average??,neutral
literally existing,neutral
i am panic attack??,fear
extremely shattered...,sadness
just dread??,fear
extremely in pain??,sadness
This pain is never ending.,sadness
feeling sluggish lately,bored
void,bored
just it's okay!,neutral
i am empty inside right now,sadness
Nervous about the interview tomorrow.,fear
Just read the news.,neutral
sore but great.,joy
just afraid today,fear
Just existing at this point.,bored
pissed today,anger
feeling pissed,anger
Time to eat a sandwich.,neutral
feeling mad today,anger
very shaking right now,fear
i feel feeling anxious,fear
feeling void lately,bored
feeling listless??,bored
I need to fold laundry.,neutral
Time to stand up.,neutral
just whatever at the moment,neutral
so anxious at the moment,fear
The suspense is killing me.,fear
feeling furious at the moment,anger
livid??,anger
just terrified today,fear
feeling dread??,fear
i feel mad today,anger
so rattled right now,fear
feeling no energy right now,bored
i am pissed today,anger
It's tuesday.,neutral
really so heavy right now,sadness
i am crushed...,sadness
pissed!,anger
I am so done with this day.,anger
very worried lately,fear
literally pain lately,sadness
i am i dont have energy!,bored
i am afraid right now,fear
feeling all good lately,neutral
Currently write a list.,neutral
makes my blood boil today,anger
I am charge my phone right now.,neutral
Grocery shopping list.,neutral
really anxious??,fear
i am broken today,sadness
extremely meaningless right now,sadness
i am livid??,anger
I’m disappointed in myself.,sadness
I am drained but I feel great.,joy
literally apathetic at the moment,bored
just terrified...,fear
extremely nervous??,fear
Currently look at the clock.,neutral
literally drained??,bored
literally fake people??,anger
i am okay i guess??,neutral
i feel i feel nothing...,bored
i am everything feels pointless right now,sadness
Sleepy but smiling.,joy
very livid today,anger
I am write a list right now.,neutral
Butterflies in my stomach but can't wait.,joy
very afraid...,fear
worried...,fear
i feel sick of fake people??,anger
I need to close the door.,neutral
hollow...,sadness
just i am okay at the moment,neutral
Anxiety is through the roof.,fear
meaningless!,sadness
The store is closed.,neutral
literally no energy lately,bored
very everything feels pointless!,sadness
I am tired but I feel great.,joy
Time to charge my phone.,neutral
really alarmed...,fear
blood boil,anger
very just fine!,neutral
I heard a noise downstairs.,fear
very panic attack lately,fear
There is literally nothing to do.,bored
so meaningless lately,sadness
