text,label
just troubled today,fear
extremely so annoyed today,anger
tired but satisfied.,joy
extremely sluggish,bored
Currently drink water.,neutral
extremely shaking today,fear
extremely flat lately,bored
i am okay i guess,neutral
really afraid??,fear
Unsettling energy.,fear
I need to drive to work.,neutral
I just want to crawl into bed and never leave.,sadness
just i'm okay at the moment,neutral
so furious!,anger
Eerie atmosphere.,fear
extremely i am feeling anxious,fear
Bad vibes.,fear
just feeling sleepy,bored
so nervous??,fear
extremely scared,fear
really panicking lately,fear
frustrated lately,anger
feeling lazy today,bored
Currently clean my room.,neutral
I am fold laundry right now.,neutral
Currently open the window.,neutral
feeling pointless right now,sadness
literally heart hurts right now,sadness
just rattled lately,fear
very brokenhearted right now,sadness
Butterflies in my stomach but can't wait.,joy
sleepy??,bored
I am sleepy but I feel good.,joy
extremely blood boil??,anger
extremely everything feels pointless...,sadness
so afraid right now,fear
Just pay the bills.,neutral
Currently pay the bills.,neutral
I am drained but I feel good.,joy
just pointless...,sadness
Grocery shopping list.,neutral
i am hollow...,sadness
Sleepy but smiling.,joy
very makes my blood boil lately,anger
The computer is on.,neutral
i am fed up lately,anger
very dread today,fear
i am grief??,sadness
i feel listless...,bored
Everything I touch breaks.,sadness
just i am okay at the moment,neutral
I am joking but inside I am broken.,sadness
makes my blood boil today,anger
just okay at the moment,neutral
empty inside right now,sadness
so pain right now,sadness
feeling heart hurts??,sadness
I feel like something terrible is about to happen.,fear
i feel terrified...,fear
i feel it's okay!,neutral
nothing special,neutral
really lethargic!,bored
Nothing much happening.,neutral
i am unmotivated??,bored
I am smiling but inside I am crying.,sadness
just livid lately,anger
Just clean my room.,neutral
Currently charge my phone.,neutral
I need to buy groceries.,neutral
I am tired but I feel good.,joy
so frustrated today,anger
I am smiling but inside I am broken.,sadness
very whatever today,neutral
literally i am okay,neutral
just furious today,anger
lethargic today,bored
literally unmotivated...,bored
i am enraging...,anger
so rattled!,fear
The suspense is killing me.,fear
so sick of fake people??,anger
really alright??,neutral
I am drained but I feel happy.,joy
i feel i feel nothing...,bored
extremely normal day!,neutral
i am fake people??,anger
Just close the door.,neutral
exhausted but happy.,joy
literally okay...,neutral
extremely in pain...,sadness
I am sleepy but I feel great.,joy
terrified??,fear
i feel nothing special at the moment,neutral
extremely no energy,bored
I'm going to wash the dishes.,neutral
feeling unmotivated,bored
really troubled...,fear
i am so annoyed right now,anger
sleepy but content.,joy
i am i feel nothing,bored
just it's okay at the moment,neutral
very shaking at the moment,fear
literally pain lately,sadness
just terrified...,fear
literally listless,bored
feeling void lately,bored
I'm going to wait for the bus.,neutral
i am okay,neutral
just anxious...,fear
extremely alright at the moment,neutral
extremely empty inside today,sadness
hollow right now,sadness
just lethargic right now,bored
very nothing special,neutral
really void,bored
I'm going to drive to work.,neutral
i feel grief today,sadness
I am laughing but inside I am dying.,sadness
extremely anxious at the moment,fear
alright??,neutral
really sluggish at the moment,bored
