text,label
really i'm okay at the moment,neutral
so enraged at the moment,anger
so fed up!,anger
so devastated??,sadness
so panicking lately,fear
really afraid??,fear
unbearable!,sadness
literally mad...,anger
i feel grief today,sadness
extremely grief,sadness
really all good!,neutral
so hollow right now,sadness
so sick of fake people,anger
existing today,neutral
literally average at the moment,neutral
literally exhausted at the moment,bored
i am sleepy!,bored
just shaken today,fear
just lethargic...,bored
extremely shaken!,fear
i feel broken lately,sadness
feeling frustrated right now,anger
extremely brokenhearted right now,sadness
void right now,bored
very mad...,anger
literally furious at the moment,anger
i feel unmotivated today,bored
very scared...,fear
literally enraging,anger
extremely alarmed??,fear
empty inside lately,sadness
just mad right now,anger
i feel sleepy...,bored
i feel so heavy,sadness
literally i dont have energy!,bored
feeling rattled,fear
scared right now,fear
okay i guess lately,neutral
so annoyed,anger
so enraging lately,anger
i am enraged??,anger
literally feeling sleepy today,bored
just heart hurts lately,sadness
extremely everything feels pointless lately,sadness
very drained!,bored
extremely flat!,bored
shaken today,fear
extremely anxious...,fear
feeling sluggish lately,bored
really listless at the moment,bored
i feel feeling anxious,fear
very empty inside right now,sadness
i am blood boil right now,anger
just furious right now,anger
so i feel nothing,bored
just crushed right now,sadness
extremely panic attack at the moment,fear
very enraged...,anger
just all good,neutral
i feel scared today,fear
so unbearable right now,sadness
literally unmotivated right now,bored
really everything feels pointless at the moment,sadness
hollow...,sadness
just so annoyed today,anger
really scared...,fear
very i feel nothing!,bored
really fine right now,neutral
feeling alright!,neutral
feeling mad,anger
i am nothing special,neutral
just sleepy,bored
really existing...,neutral
i'm okay,neutral
so pain right now,sadness
i am afraid right now,fear
extremely okay i guess at the moment,neutral
very worried right now,fear
really pointless today,sadness
literally heart hurts,sadness
literally fake people??,anger
shaking at the moment,fear
really enraging...,anger
okay lately,neutral
i am okay,neutral
just troubled lately,fear
i am meaningless today,sadness
so livid today,anger
i am rattled??,fear
really sleepy today,bored
i feel existing...,neutral
literally panic attack at the moment,fear
so drained lately,bored
feeling terrified,fear
really panic attack lately,fear
just exhausted lately,bored
i am i feel nothing lately,bored
i am feeling anxious lately,fear
i am pain??,sadness
really average,neutral
very shaking at the moment,fear
so fake people??,anger
i am sluggish??,bored
really average lately,neutral
literally rattled lately,fear
just lazy lately,bored
extremely blood boil today,anger
really alright??,neutral
just broken right now,sadness
just makes my blood boil,anger
really in pain at the moment,sadness
feeling dread??,fear
extremely so annoyed today,anger
extremely shattered...,sadness
whatever right now,neutral
very anxious...,fear
lethargic lately,bored
feeling blood boil at the moment,anger
i feel panicking!,fear
i dont have energy lately,bored
i am crushed right now,sadness
all good,neutral
shattered lately,sadness
i am crushed...,sadness
i am everything feels pointless right now,sadness
so makes my blood boil??,anger
i feel pain right now,sadness
i feel i'm okay today,neutral
extremely shaking at the moment,fear
empty inside...,sadness
just feeling sleepy...,bored
extremely anxious at the moment,fear
very afraid,fear
i feel pointless lately,sadness
so lazy...,bored
i am terrified lately,fear
so troubled??,fear
feeling feeling sleepy...,bored
very apathetic right now,bored
extremely afraid today,fear
really feeling anxious...,fear
really lethargic right now,bored
extremely everything feels pointless at the moment,sadness
just nothing special,neutral
extremely sick of fake people right now,anger
feeling exhausted??,bored
whatever at the moment,neutral
i am shaking!,fear
i am fine!,neutral
really just fine??,neutral
i am fine,neutral
i feel afraid lately,fear
i feel empty inside lately,sadness
literally brokenhearted lately,sadness
i feel drained!,bored
extremely feeling sleepy!,bored
very so annoyed,anger
enraging today,anger
extremely feeling anxious!,fear
literally furious lately,anger
literally afraid!,fear
really unmotivated today,bored
very i feel nothing lately,bored
so okay i guess??,neutral
really i am feeling anxious right now,fear
so pointless today,sadness
really just fine lately,neutral
meaningless!,sadness
i am void today,bored
i am no energy,bored
extremely empty inside...,sadness
feeling panic attack right now,fear
i feel brokenhearted today,sadness
i feel i dont have energy!,bored
i am fed up today,anger
so exhausted...,bored
very unbearable lately,sadness
feeling fed up lately,anger
afraid right now,fear
just afraid...,fear
i feel nothing special at the moment,neutral
i am okay i guess??,neutral
very fed up,anger
extremely all good,neutral
i am shaking...,fear
extremely i am feeling anxious,fear
just normal day!,neutral
feeling enraging,anger
feeling anxious today,fear
really so heavy right now,sadness
i feel devastated today,sadness
really crushed...,sadness
i feel so annoyed!,anger
very worried lately,fear
just okay at the moment,neutral
extremely dread!,fear
broken at the moment,sadness
so nervous??,fear
so fine at the moment,neutral
extremely okay,neutral
i feel mad today,anger
very hollow...,sadness
very i'm okay at the moment,neutral
feeling all good right now,neutral
shaken,fear
alright lately,neutral
extremely nervous today,fear
so shaking today,fear
extremely fed up right now,anger
feeling void lately,bored
very okay!,neutral
feeling broken,sadness
feeling grief at the moment,sadness
i am okay i guess lately,neutral
really void,bored
literally sick of fake people!,anger
so devastated right now,sadness
i am void!,bored
i am void...,bored
extremely heart hurts!,sadness
i am everything feels pointless at the moment,sadness
so meaningless lately,sadness
extremely fake people at the moment,anger
very i am okay!,neutral
i feel panic attack,fear
just devastated at the moment,sadness
i'm okay lately,neutral
extremely pain,sadness
literally it's okay at the moment,neutral
feeling brokenhearted...,sadness
extremely brokenhearted at the moment,sadness
feeling enraging today,anger
just i dont have energy!,bored
really fake people...,anger
very hollow lately,sadness
very fed up today,anger
extremely normal day!,neutral
void,bored
really pointless at the moment,sadness
i am lazy,bored
very troubled at the moment,fear
so nothing special??,neutral
so rattled!,fear
really troubled...,fear
i am average,neutral
so anxious at the moment,fear
so i feel nothing right now,bored
really anxious??,fear
feeling existing lately,neutral
i am sluggish lately,bored
extremely broken today,sadness
really brokenhearted lately,sadness
extremely lazy,bored
feeling normal day??,neutral
i am existing??,neutral
literally devastated today,sadness
feeling pointless right now,sadness
feeling terrified...,fear
literally pointless lately,sadness
so anxious...,fear
i feel listless!,bored
literally no energy right now,bored
so panicking...,fear
feeling enraging!,anger
alarmed,fear
very fake people lately,anger
so drained at the moment,bored
very i'm okay,neutral
i feel pain lately,sadness
extremely feeling sleepy at the moment,bored
i feel normal day today,neutral
very nothing special today,neutral
really crushed??,sadness
just lethargic right now,bored
i feel blood boil,anger
feeling so heavy??,sadness
i am heart hurts,sadness
extremely scared...,fear
feeling drained,bored
just terrified...,fear
just troubled today,fear
i feel makes my blood boil right now,anger
very livid today,anger
extremely blood boil??,anger
i feel whatever!,neutral
hollow right now,sadness
very pissed lately,anger
very empty inside??,sadness
extremely nervous??,fear
i am panic attack??,fear
livid today,anger
really okay i guess,neutral
i am fine...,neutral
so furious!,anger
extremely rattled right now,fear
feeling apathetic??,bored
everything feels pointless!,sadness
very meaningless!,sadness
i feel in pain today,sadness
very nothing special!,neutral
i am worried at the moment,fear
i feel existing!,neutral
literally scared...,fear
i am unbearable!,sadness
i am no energy??,bored
just makes my blood boil??,anger
so sluggish,bored
literally sleepy...,bored
i feel sleepy at the moment,bored
i am okay i guess,neutral
extremely in pain...,sadness
just so heavy??,sadness
feeling void today,bored
very lazy right now,bored
extremely everything feels pointless...,sadness
extremely feeling sleepy,bored
literally shattered,sadness
extremely alarmed!,fear
very nothing special,neutral
really normal day today,neutral
just panicking lately,fear
i feel devastated lately,sadness
very heart hurts right now,sadness
pain??,sadness
very okay at the moment,neutral
i feel grief!,sadness
pissed today,anger
i am panicking lately,fear
i am panic attack!,fear
extremely drained right now,bored
very lazy??,bored
nervous??,fear
really i am okay,neutral
just exhausted right now,bored
worried today,fear
literally i am feeling anxious today,fear
i feel shattered!,sadness
just it's okay at the moment,neutral
i feel shattered...,sadness
feeling i dont have energy lately,bored
so meaningless,sadness
very worried today,fear
really hollow today,sadness
so i'm okay??,neutral
scared at the moment,fear
feeling meaningless today,sadness
really terrified right now,fear
so it's okay??,neutral
so feeling anxious!,fear
just fine lately,neutral
extremely i dont have energy right now,bored
literally alarmed at the moment,fear
just flat right now,bored
i feel shaken lately,fear
so brokenhearted right now,sadness
feeling sick of fake people right now,anger
very pointless right now,sadness
feeling whatever lately,neutral
it's okay,neutral
feeling i'm okay at the moment,neutral
just livid lately,anger
frustrated lately,anger
literally i am okay right now,neutral
literally enraged lately,anger
just feeling sleepy,bored
i feel whatever right now,neutral
makes my blood boil right now,anger
very it's okay!,neutral
i am unmotivated right now,bored
very i'm okay!,neutral
really nervous lately,fear
i am i dont have energy!,bored
literally feeling anxious...,fear
very frustrated...,anger
so so heavy...,sadness
extremely apathetic!,bored
just furious today,anger
i am i am feeling anxious right now,fear
extremely devastated at the moment,sadness
i feel drained at the moment,bored
very shaken!,fear
so dread right now,fear
just i am feeling anxious right now,fear
so panicking right now,fear
feeling okay i guess right now,neutral
lethargic today,bored
so unbearable today,sadness
so enraged right now,anger
literally listless lately,bored
just it's okay!,neutral
really grief lately,sadness
feeling panicking!,fear
really no energy at the moment,bored
exhausted at the moment,bored
okay right now,neutral
feeling lethargic right now,bored
i am devastated right now,sadness
extremely meaningless right now,sadness
extremely flat lately,bored
literally drained??,bored
literally brokenhearted!,sadness
terrified!,fear
just i am okay at the moment,neutral
i am apathetic today,bored
so scared...,fear
just okay right now,neutral
feeling makes my blood boil right now,anger
blood boil,anger
just pointless...,sadness
i feel worried,fear
so panicking today,fear
really makes my blood boil...,anger
very average!,neutral
literally i am okay lately,neutral
really broken??,sadness
i am enraging...,anger
extremely empty inside today,sadness
lethargic right now,bored
just afraid today,fear
fake people??,anger
extremely sluggish,bored
empty inside right now,sadness
really anxious,fear
extremely scared,fear
feeling alright at the moment,neutral
very pain,sadness
i am livid at the moment,anger
very sluggish right now,bored
very pointless today,sadness
so crushed today,sadness
very sluggish!,bored
i feel enraged lately,anger
really exhausted,bored
i am unbearable lately,sadness
mad,anger
just fake people lately,anger
i am alright lately,neutral
just troubled??,fear
all good lately,neutral
very scared right now,fear
feeling all good,neutral
fed up at the moment,anger
really just fine right now,neutral
extremely i am okay at the moment,neutral
very terrified...,fear
just unbearable,sadness
so unmotivated lately,bored
extremely i feel nothing??,bored
very panic attack lately,fear
okay today,neutral
so shattered,sadness
i am unmotivated??,bored
just average!,neutral
i am fed up lately,anger
very everything feels pointless,sadness
so frustrated today,anger
really whatever right now,neutral
just panic attack today,fear
extremely existing right now,neutral
so unbearable...,sadness
i feel enraged!,anger
extremely dread at the moment,fear
exhausted today,bored
literally nothing special...,neutral
everything feels pointless lately,sadness
feeling fine at the moment,neutral
whatever??,neutral
feeling shattered...,sadness
feeling just fine...,neutral
pissed!,anger
really dread right now,fear
i am panicking...,fear
literally so heavy at the moment,sadness
i am okay...,neutral
lazy today,bored
i am in pain at the moment,sadness
